The sweetest joy, the wildest woe is love. ~ Philip James Bailey
Anyone can be passionate, but it takes real lovers to be silly. ~ Rose Franken
Love is being stupid together. ~ Paul Valery
I was nauseous and tingly all over. I was either in love or I had smallox. ~ Woody Allen
At the touch of love, everyone becomes a poet. ~ Plato
Perhaps the feelings that we experience when we are in love represent a normal state. Being in love shows a person who he should  be. ~ Anton Chekhov
True love stories never have endings. ~ Richard Bach
The supreme happiness of life is the conviction that we are loved--loved for ourselves, or rather, loved in spite of ourselves. ~ Victor Hugo
What the world really needs is more love and less paperwork. ~ Pearl Bailey
If you want to be loved, be lovable. ~ Ovid
Love can sometimes be magic. But magic can sometimes . . . just be an illusion. ~ Javan
We waste time looking for the perfect lover, instead of creating the perfect love. ~ Tom Robbins
" Love doesn't just sit there, like a stone; it has to be made, like bread, remade all the time, made new. ~ Ursula K. LeGuin."
The magic of first love is our ignorance that it can ever end. ~ Benjamin Disraeli
The very essence of romance is uncertainty.  ~ Oscar Wilde
Love is a game that two can play and both win. ~ Eva Gabor
 To love and win is the best thing. To love and lose, the next best. ~ William M. Thackeray.
 There can be no peace of mind in love, since the advantage one has secured is never anything but a fresh starting-point for future desires. ~ Marcel Proust
Love is the self-delusion we manufacture to justify the trouble we take to have sex. ~ Daniel S. Greenberg
Love is the triumph of imagination over intelligence. ~ H. L. Mencken.
One should always be in love. This is the reason why one should never marry. ~ Oscar Wilde
Nobody has ever measured, not even poets, how much the heart can hold. ~ Zelda Fitzgerald
Everyone admits that love is wonderful and necessary, yet no one agrees on just what it is. ~ Diane Ackerman
